Grupo de verificações,Nome da classe,Limites,Dados de teste dentro da classe (conteúdo do campo),Dados de teste nos limites (campo de comentários),Classificação e otimização
Nome,Comprimento do texto é de 1 caracter,(só um caracter não tem limites),"1 caracter - ""A""",Não precisa preencher Dados do Limite porque é só 1 caracter,
,Campo vazio,,"0 - string vazia ou """"",,
,Comprimento do texto é de 2 a 14 caracteres,"1, 15","9 caracteres  - ""Ana Paula""","No Limite: 2 e 14
2 - ""An""
14 - ""Ana Paula Ana """,
,,,,"Fora do Limite: 1 e 15
1- ""A""
15 - ""Ana Paula Ana P""",
,,,,"Dentro do Limite: 3 e 13
3 - ""Ana""
13 - ""Ana Paula Ana""",
,Comprimento do texto é maior que 15 caracteres,15,"16 caracteres - ""Ana Paula Ana Pa""","Fora do Limite: 14
No Limite: 15
Dentro do Limite 16 (ou mais)
14- ""Ana Paula Ana ""
15- ""Ana Paula Ana P""
16 - ""Ana Paula Ana Pa""",
,Letras Latinas,,abcdef,,
,Caracteres especiais,,!@#$%,,
,Numeros,,12345,,
,Hifen,,Ana-Paula,,
,Com espaço,,""" """,,
,Letras não latinas,,(alguma coisa em russo),,
,,,,,
,,,,,
Sobrenome,Campo vazio,,0 - string vazia,,
,Comprimento do texto é de 1 caracter,"0, 2","1 caracter - ""A""","1 - ""A""",
,Comprimento do texto é de 2 a 14 caracteres,"1, 15","3 caracteres  - ""Ana""","2 - ""An""",
,,,,"14 - ""Ana Paula Ana """,
,,,,"15 - ""Ana Paula Ana A""",
,Comprimento do texto é maior que 15 caracteres,14,"16 caracteres - ""Ana Paula Ana Pa""","16 - ""Ana Paula Ana Pa""",
,Letras Latinas,,abcdef,,
,Caracteres especiais,,!@#$%,,
,Numeros,,12345,,
,Hifen,,Ana-Paula,,
,Com espaço,,""" """,,
,Letras não latinas,,(alguma coisa em russo),,
,,,,,
Data de nascimento,Campo vazio,,0 - string vazia,,
,"Campo dia, 01 a 31","01, 31","10 caracteres - ""03.01.1881""","10 - ""03.01.1881""

Começo de Mês:
Limite: 01.01.1881
Fora do Limite: 00.01.1881 
Dentro do Limite: 02.01.1881

Ano Bissexto (Fevereiro):
Limite: 29.02.1881
Fora: 30.02.1881
Dentro: 28.02.1881",
,"Campo mês, 01 a 12","01, 12","10 caracteres - ""01.06.1881""","10 - ""01.06.1881""

No Limite: 1 e 12 - 01.01.1881 e 01.12.1881
Dentro do Limite: 2 e 11 - 01.02.1881 e 01.11.1881
Fora do Limite: 0 e 13 - 01.00.1881 e 01.13.1881",
,"Campo ano, 1880 a 2006","1880, 2006","10 caracteres - ""01.01.1887""","10 - ""01.01.1887""",
,Caracteres especiais,,,,
,Letras,,,,
